Time,Open,High,Low,Close,Volume
2020-03-04T16:30:00.000000000Z,1.11296,1.11397,1.11231,1.11299,3663
2020-03-04T17:00:00.000000000Z,1.11297,1.11339,1.11252,1.11291,2473
2020-03-04T17:30:00.000000000Z,1.11290,1.11293,1.11200,1.11243,2084
2020-03-04T18:00:00.000000000Z,1.11242,1.11378,1.11241,1.11370,1800
2020-03-04T18:30:00.000000000Z,1.11368,1.11380,1.11301,1.11323,1385
2020-03-04T19:00:00.000000000Z,1.11325,1.11359,1.11294,1.11304,1621
2020-03-04T19:30:00.000000000Z,1.11302,1.11429,1.11301,1.11396,1866
2020-03-04T20:00:00.000000000Z,1.11398,1.11429,1.11351,1.11351,1179
2020-03-04T20:30:00.000000000Z,1.11353,1.11382,1.11324,1.11378,1569
2020-03-04T21:00:00.000000000Z,1.11379,1.11390,1.11320,1.11331,524
2020-03-04T21:30:00.000000000Z,1.11335,1.11391,1.11316,1.11391,520
2020-03-04T22:00:00.000000000Z,1.11412,1.11412,1.11344,1.11350,32
2020-03-04T22:30:00.000000000Z,1.11348,1.11361,1.11330,1.11348,124
2020-03-04T23:00:00.000000000Z,1.11351,1.11407,1.11341,1.11366,347
2020-03-04T23:30:00.000000000Z,1.11368,1.11404,1.11340,1.11391,506
2020-03-05T00:00:00.000000000Z,1.11392,1.11400,1.11336,1.11379,875
2020-03-05T00:30:00.000000000Z,1.11378,1.11434,1.11357,1.11383,874
2020-03-05T01:00:00.000000000Z,1.11384,1.11388,1.11344,1.11365,866
2020-03-05T01:30:00.000000000Z,1.11364,1.11392,1.11361,1.11377,344
2020-03-05T02:00:00.000000000Z,1.11376,1.11424,1.11376,1.11416,367
2020-03-05T02:30:00.000000000Z,1.11415,1.11439,1.11408,1.11426,389
2020-03-05T03:00:00.000000000Z,1.11428,1.11444,1.11398,1.11400,302
2020-03-05T03:30:00.000000000Z,1.11399,1.11406,1.11380,1.11391,448
2020-03-05T04:00:00.000000000Z,1.11390,1.11392,1.11366,1.11383,277
2020-03-05T04:30:00.000000000Z,1.11385,1.11399,1.11376,1.11393,286
2020-03-05T05:00:00.000000000Z,1.11391,1.11409,1.11365,1.11366,279
2020-03-05T05:30:00.000000000Z,1.11368,1.11371,1.11347,1.11354,331
2020-03-05T06:00:00.000000000Z,1.11353,1.11396,1.11350,1.11389,681
2020-03-05T06:30:00.000000000Z,1.11388,1.11395,1.11320,1.11334,756
2020-03-05T07:00:00.000000000Z,1.11335,1.11402,1.11335,1.11389,1814
2020-03-05T07:30:00.000000000Z,1.11387,1.11400,1.11203,1.11238,2036
2020-03-05T08:00:00.000000000Z,1.11239,1.11355,1.11224,1.11248,3685
2020-03-05T08:30:00.000000000Z,1.11250,1.11408,1.11250,1.11377,3298
2020-03-05T09:00:00.000000000Z,1.11377,1.11603,1.11327,1.11579,3473
2020-03-05T09:30:00.000000000Z,1.11580,1.11749,1.11552,1.11740,3738
2020-03-05T10:00:00.000000000Z,1.11739,1.11780,1.11681,1.11723,2927
2020-03-05T10:30:00.000000000Z,1.11724,1.11782,1.11634,1.11707,2969
2020-03-05T11:00:00.000000000Z,1.11706,1.11708,1.11572,1.11694,3554
2020-03-05T11:30:00.000000000Z,1.11695,1.11845,1.11676,1.11839,3101
2020-03-05T12:00:00.000000000Z,1.11839,1.12006,1.11800,1.11873,4240
2020-03-05T12:30:00.000000000Z,1.11873,1.12008,1.11867,1.11893,3538
2020-03-05T13:00:00.000000000Z,1.11894,1.11977,1.11862,1.11960,4219
2020-03-05T13:30:00.000000000Z,1.11960,1.12000,1.11800,1.11874,4793
2020-03-05T14:00:00.000000000Z,1.11873,1.12022,1.11815,1.11993,4139
2020-03-05T14:30:00.000000000Z,1.11993,1.11997,1.11786,1.11916,5026
2020-03-05T15:00:00.000000000Z,1.11914,1.11978,1.11728,1.11783,5588
2020-03-05T15:30:00.000000000Z,1.11781,1.11921,1.11678,1.11884,5982
2020-03-05T16:00:00.000000000Z,1.11886,1.11949,1.11799,1.11876,4727
2020-03-05T16:30:00.000000000Z,1.11877,1.12059,1.11876,1.12025,3546
2020-03-05T17:00:00.000000000Z,1.12027,1.12071,1.11851,1.11936,3720
2020-03-05T17:30:00.000000000Z,1.11937,1.12175,1.11931,1.12149,3899
2020-03-05T18:00:00.000000000Z,1.12149,1.12187,1.12077,1.12154,2907
2020-03-05T18:30:00.000000000Z,1.12155,1.12165,1.11984,1.12003,2216
2020-03-05T19:00:00.000000000Z,1.12002,1.12047,1.11980,1.12012,1954
2020-03-05T19:30:00.000000000Z,1.12013,1.12042,1.11926,1.12012,1751
2020-03-05T20:00:00.000000000Z,1.12010,1.12204,1.11946,1.12202,2907
2020-03-05T20:30:00.000000000Z,1.12201,1.12307,1.12192,1.12289,2873
2020-03-05T21:00:00.000000000Z,1.12290,1.12377,1.12255,1.12374,1612
2020-03-05T21:30:00.000000000Z,1.12378,1.12457,1.12347,1.12370,1170
2020-03-05T22:00:00.000000000Z,1.12443,1.12443,1.12346,1.12346,117
2020-03-05T22:30:00.000000000Z,1.12350,1.12393,1.12301,1.12348,630
2020-03-05T23:00:00.000000000Z,1.12335,1.12415,1.12269,1.12280,561
2020-03-05T23:30:00.000000000Z,1.12281,1.12308,1.12231,1.12233,404
2020-03-06T00:00:00.000000000Z,1.12233,1.12251,1.12140,1.12184,1072
2020-03-06T00:30:00.000000000Z,1.12186,1.12290,1.12125,1.12210,1556
2020-03-06T01:00:00.000000000Z,1.12209,1.12318,1.12195,1.12317,943
2020-03-06T01:30:00.000000000Z,1.12316,1.12471,1.12262,1.12464,1414
2020-03-06T02:00:00.000000000Z,1.12466,1.12497,1.12372,1.12391,1992
2020-03-06T02:30:00.000000000Z,1.12392,1.12397,1.12310,1.12327,1116
2020-03-06T03:00:00.000000000Z,1.12329,1.12347,1.12299,1.12321,860
2020-03-06T03:30:00.000000000Z,1.12320,1.12350,1.12269,1.12344,998
2020-03-06T04:00:00.000000000Z,1.12342,1.12398,1.12329,1.12358,945
2020-03-06T04:30:00.000000000Z,1.12357,1.12357,1.12305,1.12316,637
2020-03-06T05:00:00.000000000Z,1.12314,1.12371,1.12308,1.12371,495
2020-03-06T05:30:00.000000000Z,1.12372,1.12372,1.12289,1.12292,799
2020-03-06T06:00:00.000000000Z,1.12294,1.12379,1.12254,1.12263,1670
2020-03-06T06:30:00.000000000Z,1.12263,1.12312,1.12199,1.12289,2195
2020-03-06T07:00:00.000000000Z,1.12288,1.12336,1.12244,1.12281,3728
2020-03-06T07:30:00.000000000Z,1.12280,1.12386,1.12278,1.12350,2783
2020-03-06T08:00:00.000000000Z,1.12348,1.12566,1.12296,1.12545,6191
2020-03-06T08:30:00.000000000Z,1.12544,1.12797,1.12530,1.12730,7338
2020-03-06T09:00:00.000000000Z,1.12732,1.12789,1.12689,1.12740,4889
2020-03-06T09:30:00.000000000Z,1.12739,1.12964,1.12718,1.12947,6402
2020-03-06T10:00:00.000000000Z,1.12948,1.13245,1.12936,1.13238,8544
2020-03-06T10:30:00.000000000Z,1.13236,1.13250,1.12985,1.13172,8804
2020-03-06T11:00:00.000000000Z,1.13173,1.13381,1.13123,1.13300,8153
2020-03-06T11:30:00.000000000Z,1.13299,1.13415,1.13267,1.13332,5169
2020-03-06T12:00:00.000000000Z,1.13331,1.13331,1.13076,1.13219,4397
2020-03-06T12:30:00.000000000Z,1.13221,1.13263,1.13061,1.13169,5565
2020-03-06T13:00:00.000000000Z,1.13171,1.13386,1.13123,1.13320,5758
2020-03-06T13:30:00.000000000Z,1.13330,1.13354,1.13062,1.13234,8464
2020-03-06T14:00:00.000000000Z,1.13236,1.13503,1.13186,1.13452,8888
2020-03-06T14:30:00.000000000Z,1.13454,1.13555,1.13319,1.13500,9841
2020-03-06T15:00:00.000000000Z,1.13500,1.13554,1.12882,1.13068,13639
2020-03-06T15:30:00.000000000Z,1.13070,1.13177,1.12971,1.13108,12668
2020-03-06T16:00:00.000000000Z,1.13107,1.13312,1.13090,1.13255,6241
2020-03-06T16:30:00.000000000Z,1.13257,1.13276,1.13064,1.13201,5052
2020-03-06T17:00:00.000000000Z,1.13202,1.13287,1.13102,1.13113,3393
2020-03-06T17:30:00.000000000Z,1.13114,1.13135,1.12890,1.13061,4754
2020-03-06T18:00:00.000000000Z,1.13062,1.13123,1.12924,1.12955,4236
2020-03-06T18:30:00.000000000Z,1.12957,1.13032,1.12913,1.12993,4073
2020-03-06T19:00:00.000000000Z,1.12991,1.13081,1.12945,1.13072,3551
2020-03-06T19:30:00.000000000Z,1.13071,1.13196,1.13051,1.13184,3708
2020-03-06T20:00:00.000000000Z,1.13185,1.13266,1.13094,1.13202,5189
2020-03-06T20:30:00.000000000Z,1.13205,1.13207,1.13015,1.13068,6268
2020-03-06T21:00:00.000000000Z,1.13067,1.13121,1.13049,1.13059,852
2020-03-06T21:30:00.000000000Z,1.13058,1.13062,1.12880,1.12882,934
2020-03-08T21:00:00.000000000Z,1.13560,1.13575,1.13394,1.13402,332
2020-03-08T21:30:00.000000000Z,1.13387,1.13619,1.13386,1.13567,262
2020-03-08T22:00:00.000000000Z,1.13561,1.13588,1.13412,1.13495,2151
2020-03-08T22:30:00.000000000Z,1.13494,1.13967,1.13471,1.13883,3662
2020-03-08T23:00:00.000000000Z,1.13885,1.13903,1.13680,1.13867,3131
2020-03-08T23:30:00.000000000Z,1.13866,1.13975,1.13811,1.13886,2222
2020-03-09T00:00:00.000000000Z,1.13883,1.13883,1.13693,1.13704,3201
2020-03-09T00:30:00.000000000Z,1.13704,1.13735,1.13599,1.13607,1504
2020-03-09T01:00:00.000000000Z,1.13609,1.13864,1.13567,1.13803,1707
2020-03-09T01:30:00.000000000Z,1.13801,1.15013,1.13764,1.14301,7801
2020-03-09T02:00:00.000000000Z,1.14306,1.14631,1.14166,1.14308,5159
2020-03-09T02:30:00.000000000Z,1.14306,1.14403,1.13880,1.14000,2977
2020-03-09T03:00:00.000000000Z,1.14003,1.14046,1.13730,1.13790,2280
2020-03-09T03:30:00.000000000Z,1.13788,1.14293,1.13751,1.14179,3041
2020-03-09T04:00:00.000000000Z,1.14178,1.14251,1.14032,1.14076,2124
2020-03-09T04:30:00.000000000Z,1.14079,1.14107,1.13988,1.14024,1161
2020-03-09T05:00:00.000000000Z,1.14022,1.14267,1.14013,1.14188,1230
2020-03-09T05:30:00.000000000Z,1.14186,1.14186,1.13822,1.13832,1689
2020-03-09T06:00:00.000000000Z,1.13830,1.14104,1.13828,1.14005,3216
2020-03-09T06:30:00.000000000Z,1.14006,1.14105,1.13952,1.14011,2356
2020-03-09T07:00:00.000000000Z,1.14018,1.14654,1.14014,1.14632,7797
2020-03-09T07:30:00.000000000Z,1.14630,1.14771,1.14342,1.14398,6944
2020-03-09T08:00:00.000000000Z,1.14400,1.14413,1.14128,1.14275,7547
2020-03-09T08:30:00.000000000Z,1.14272,1.14353,1.13911,1.14033,7231
2020-03-09T09:00:00.000000000Z,1.14031,1.14075,1.13663,1.13705,6693
2020-03-09T09:30:00.000000000Z,1.13702,1.14040,1.13688,1.13923,4690
2020-03-09T10:00:00.000000000Z,1.13921,1.14401,1.13909,1.14134,5729
2020-03-09T10:30:00.000000000Z,1.14134,1.14290,1.14035,1.14250,4128
2020-03-09T11:00:00.000000000Z,1.14252,1.14300,1.14172,1.14194,4170
2020-03-09T11:30:00.000000000Z,1.14195,1.14304,1.14101,1.14257,6554
2020-03-09T12:00:00.000000000Z,1.14259,1.14397,1.14039,1.14040,6969
